n,direccion,status,http_code,elapsed_s,error
408,JOSE E. CARBALLIDO 6377,OK,200.0,4.637075901031494,
409,DR. ADOLFO DICKMAN 960,OK,200.0,4.847862482070923,
410,LUZURIAGA 850,OK,200.0,5.706641435623169,
411,PIERES 623,OK,200.0,4.402163743972778,
412,OLIDEN 4064,OK,200.0,5.022732496261597,
413,LAVALLEJA 1342,OK,200.0,4.500966787338257,
414,JOSE ANTONIO CABRERA 3094,OK,200.0,4.582953929901123,
415,BLANCO ENCALADA 1152,OK,200.0,7.978753566741943,
416,VICTOR HUGO 1816,OK,200.0,5.971474885940552,
417,CALLE SIN NOMBRE OFICIAL 3449,ERROR,404.0,0.7213089466094971,HTTP 404
418,LARSEN 2684,OK,200.0,4.171566963195801,
419,ZELADA 5737,OK,200.0,4.273855209350586,
420,SANABRIA 1635,OK,200.0,5.081917762756348,
421,SUPERI 1300,OK,200.0,5.041406869888306,
422,ROBERTO CUNNINGHAME GRAHAM 1170,OK,200.0,4.180081129074097,
423,BARADERO 471,OK,200.0,5.402459383010864,
424,ALMIRANTE ONOFRE BETBEDER 1461,OK,200.0,5.6947736740112305,
425,AGUSTIN DE VEDIA 2648,OK,200.0,4.877888917922974,
426,GONÇALVES DIAS 552,OK,200.0,4.289809703826904,
427,URIARTE 2189,OK,200.0,4.766093969345093,
428,HABANA 4567,OK,200.0,5.225201368331909,
429,BARRAGAN 410,OK,200.0,5.219775676727295,
430,PRESIDENTE QUINTANA 89,OK,200.0,6.103732347488403,
431,CIUDAD DE LA PAZ 1913,OK,200.0,6.270209550857544,
432,AV. DIRECTORIO 3264,OK,200.0,8.04256272315979,
433,GRAL. VENANCIO FLORES 4375,OK,200.0,4.951133966445923,
434,LOS RECUERDOS 455,OK,200.0,7.464189767837524,
435,MAURE 3627,OK,200.0,8.040451049804688,
436,EREZCANO 3082,OK,200.0,4.974234104156494,
437,LISANDRO DE LA TORRE 305,OK,200.0,8.131896018981934,
